Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions,Symbol,ExpireDate,OptionType,StrikePrice
0.53,1.0,1,0.5,0.55,63857359.0,C,9,01,,AMKR,20 MAR 20,PUT,11
0.55,3.0,4,0.5,0.55,64031460.0,C,156,3D,,AMKR,20 MAR 20,PUT,11
0.5,1.0,5,0.5,0.55,74611017.0,C,11,20,,AMKR,20 MAR 20,PUT,11
0.3,10.0,10,0.15,0.45,3672704.0,C,9,20,,AMLP,08 NOV 19,PUT,9
0.35,22.0,22,0.25,0.35,20585047.0,C,88,3D,,AMLP,13 DEC 19,CALL,8
0.35,8.0,30,0.25,0.35,20585048.0,C,88,3D,,AMLP,13 DEC 19,CALL,8
0.35,3.0,33,0.25,0.35,20585048.0,C,88,3D,,AMLP,13 DEC 19,CALL,8
0.35,1.0,34,0.25,0.35,20585049.0,C,88,3D,,AMLP,13 DEC 19,CALL,8
0.35,1.0,35,0.25,0.35,20585050.0,C,88,3D,,AMLP,13 DEC 19,CALL,8
0.3,5.0,40,0.25,0.35,20671899.0,C,9,3D,,AMLP,13 DEC 19,CALL,8
1.75,1.0,1,1.7,1.75,20621700.0,C,17,20,,AMKR,20 MAR 20,PUT,14
